Species/Genus	logn50	logcontigcount	logl50	logtotlen	logcoverage	GCcontent	Busco	logcds_genes	logtrna_genes
Acetatifactor sp.	4.3715	2.2735	1.6015	6.4735	0.9865	0.473	92.49	1.485	1.603
Acetobacter pasteurianus	4.794	2.327	1.0965	6.485	2.481	0.5275	77.646	2.307	1.928
Acetobacter tropicalis	4.9805	2.207	1.079	6.5725	2.2305	0.555	98.417	2.458	1.63
Acholeplasma laidlawii	5.578	1.079	0.301	6.173	1.574	0.318	92.97	1.225	0.737
Acholeplasmataceae bacterium	4.1465	2.1885	1.421	6.132	2.1925	0.346	79.647	3.803	0.609
Achromobacter ruhlandii	5.132	1.954	1.176	6.818	2.1	0.677	77.749	1.538	1.927
Achromobacter xylosoxidans	4.811	2.262	1.431	6.814	1.978	0.677	93.724	2.212	1.242
Acidiferrobacteraceae bacterium	4.4	2	1.38	6.334	-1	0.528	91.744	2.812	1.178
Acidilobales archaeon	3.574	2.35	1.845	6.029	0.867	0.376	88.941	1.552	0.502
Acidimicrobiaceae bacterium	4.558	1.839	1.204	6.283	-1	0.533	95.359	3.271	2.076
Acidimicrobiales bacterium	3.995	2.546	1.955	6.448	1.1955	0.636	99.272	2.32	0.81
Acidimicrobiia bacterium	3.7585	2.615	2.027	6.3285	1	0.623	98.126	1.6	1.749
Acidithiobacillus thiooxidans	4.5125	2.5145	1.591	6.5825	1.91	0.531	99.037	2.614	0.715
Acidobacteria bacterium	4.1605	2.319	1.6945	6.483	1	0.62	92.969	3.255	0.31
Acidobacteriaceae bacterium	4.373	2.504	1.806	6.583	0.918	0.596	89.242	1.527	0.533
Acinetobacter baumannii	4.999	2.072	1.114	6.599	2.024	0.39	80.783	3.044	1.985
Acinetobacter bereziniae	4.828	2.3085	1.29	6.66	1.6425	0.3795	87.699	2.314	1.721
Acinetobacter calcoaceticus	5.566	1.5375	0.477	6.5915	1.7985	0.386	93.711	1.314	0.343
Acinetobacter haemolyticus	4.65	2.26	1.398	6.539	1.908	0.395	80.234	3.215	1.789
Acinetobacter indicus	4.9755	1.9565	0.977	6.48	1.977	0.457	96.309	3.293	1.168
Acinetobacter johnsonii	4.849	2.139	1.176	6.5565	1.839	0.414	78.854	1.997	1.632
Acinetobacter junii	4.66	2.354	1.38	6.529	1.898	0.387	98.155	3.501	1.413
Acinetobacter lactucae	4.969	2.09	1.176	6.587	1.776	0.388	92.332	3.823	0.597
Acinetobacter nosocomialis	4.931	2.083	1.204	6.6	1.851	0.387	98.573	2.129	1.28
Acinetobacter oleivorans	5.127	2.427	0.954	6.615	1.908	0.388	90.377	3.092	1.944
Acinetobacter pittii	4.946	2.134	1.176	6.601	1.806	0.388	99.368	2.986	1.335
Acinetobacter radioresistens	4.994	2.009	1	6.51	1.813	0.415	90.513	3.266	1.355
Acinetobacter seifertii	4.693	2.324	1.38	6.597	1.795	0.386	85.341	1.593	1.021
Acinetobacter soli	4.958	2.117	1.1275	6.5405	1.836	0.4285	81.572	2.273	2.078
Acinetobacter sp.	4.485	2.2145	1.4905	6.5365	0	0.406	79.546	2.772	0.622
Acinetobacter ursingii	4.916	2.188	1.114	6.544	1.653	0.401	80.653	2.373	1.661
Actinobacillus pleuropneumoniae	4.927	1.728	0.954	6.355	1.836	0.412	91.039	2.968	1.32
Actinobacteria bacterium	3.9175	2.258	1.643	6.12	1	0.516	81.623	1.678	0.786
Actinomycetales bacterium	4.012	2.459	1.839	6.377	1.764	0.697	88.56	3.113	1.361
Aerococcus urinae	5	1.736	0.845	6.289	1.708	0.4245	89.227	1.346	0.549
Aeromonas caviae	4.876	2.334	1.301	6.652	2	0.614	85.358	1.458	2.161
Aeromonas hydrophila	5.233	1.875	1.041	6.696	1.924	0.611	91.635	3.375	1.694
Aeromonas salmonicida	5.008	2.086	1.176	6.682	1.822	0.584	95.33	1.105	1.059
Aeromonas veronii	5.274	1.806	0.954	6.67	1.851	0.586	80.747	2.712	1.461
Agathobacter sp.	4.622	2.093	1.301	6.424	1.18	0.425	89.525	3.145	1.613
Aggregatibacter actinomycetemcomitans	4.8835	1.8415	0.977	6.3215	1.987	0.444	93.163	2.03	1.947
Aggregatibacter aphrophilus	5.6035	1.519	0.389	6.3675	1.525	0.423	85.28	1.136	0.401
Agrobacterium rhizogenes	5.726	1.6855	0.602	6.848	1.854	0.599	87.202	3.491	1.611
Agrobacterium tumefaciens	5.6685	1.531	0.602	6.751	1.9495	0.5925	96.345	3.264	0.325
Agrobacterium vitis	5.574	1.848	0.778	6.7755	1.874	0.576	88.268	3.314	1.773
Akkermansia muciniphila	5.336	1.462	0.699	6.443	1.916	0.557	88.826	3.12	1.744
Akkermansiaceae bacterium	4.144	2.778	2.061	6.668	0	0.588	98.579	1.476	0.506
Alcaligenaceae bacterium	4.461	2.196	1.505	6.446	2.237	0.531	78.101	3.608	2.115
Alcaligenes faecalis	5.542	1.491	0.602	6.636	2.255	0.568	78.35	2.979	1.901
Alcanivorax sp.	4.682	1.978	1.342	6.552	-1	0.626	96.309	3.495	1.304
Aliivibrio finisterrensis	5.036	2.111	1.114	6.626	2.158	0.389	98.495	3.69	2.188
Aliivibrio fischeri	5.302	1.857	0.903	6.632	2	0.382	91.764	1.573	1.107
Alkalihalobacillus clausii	5.147	1.968	1	6.632	2.1005	0.446	91.918	1.669	1.518
Alphaproteobacteria bacterium	3.973	2.321	1.6945	6.255	1	0.5655	87.984	1.099	2.215
Alteromonadaceae bacterium	4.922	1.875	1.176	6.638	-1	0.488	83.557	1.107	2.215
Alteromonas macleodii	5.672	1.643	0.477	6.683	2	0.446	99.479	3.316	0.676
Alteromonas sp.	4.42	2.097	1.568	6.509	-1	0.448	95.817	1.292	0.749
Anaerolineaceae bacterium	4.4	2.238	1.602	6.474	1.163	0.525	91.125	1.85	1.155
Anaerolineae bacterium	3.86	2.669	2.093	6.481	1.176	0.594	98.682	2.359	1.241
Anaerolineales bacterium	4.047	2.534	2.049	6.454	1.041	0.525	94.562	2.806	2.053
Anaerostipes hadrus	4.863	2.0775	1.204	6.4795	2	0.37	98.919	2.531	2.27
Anaplasma marginale	4.659	1.771	1	6.068	1.763	0.498	82.741	2.316	2.212
Anaplasma phagocytophilum	4.259	2.281	1.362	6.194	1.778	0.419	79.931	1.639	2.335
Aphanizomenon flos-aquae	4.766	2.19	1.431	6.638	1.699	0.371	88.753	1.123	1.249
Aphanomyces astaci	3.915	4.103	3.2365	7.729	1.301	0.498	79.522	2.506	1.991
Aquificae bacterium	3.988	2.173	1.623	6.074	1.699	0.465	99.567	1.891	1.186
